Pose_1,Pose_2,Pose_3,Pose_4,Pose_5,Pose_6
0,0,0,-0.482,0.879097738679192,0.5
0,0,0,-0.479,0.878770802985275,0.5
0,0,0,-0.476,0.878392824967822,0.5
0,0,0,-0.473,0.877963479399567,0.5
0,0,0,-0.47,0.877482393492988,0.5
0,0,0,-0.467,0.876949145236704,0.5
0,0,0,-0.464,0.876363261480389,0.5
0,0,0,-0.461,0.87572421574729,0.5
0,0,0,-0.458,0.875031425749778,0.5
0,0,0,-0.455,0.874284250579334,0.5
0,0,0,-0.452,0.873481987537611,0.5
0,0,0,-0.449,0.87262386856979,0.5
0,0,0,-0.446,0.87170905625505,0.5
0,0,0,-0.443,0.870736639301586,0.5
0,0,0,-0.44,0.869705627484771,0.5
0,0,0,-0.437,0.868614945956757,0.5
0,0,0,-0.434,0.867463428843434,0.5
0,0,0,-0.431,0.866249812029969,0.5
0,0,0,-0.428,0.86497272501841,0.5
0,0,0,-0.425,0.863630681719536,0.5
0,0,0,-0.422,0.862222070015149,0.5
0,0,0,-0.419,0.860745139895426,0.5
0,0,0,-0.416,0.859197989937059,0.5
0,0,0,-0.413,0.857578551840027,0.5
0,0,0,-0.41,0.855884572681199,0.5
0,0,0,-0.407,0.854113594468496,0.5
0,0,0,-0.404,0.852262930485394,0.5
0,0,0,-0.401,0.850329637796411,0.5
0,0,0,-0.398,0.848310485131699,0.5
0,0,0,-0.395,0.846201915172134,0.5
0,0,0,-0.392,0.844,0.5
0,0,0,-0.389,0.841700388143435,0.5
0,0,0,-0.386,0.839298241194927,0.5
0,0,0,-0.383,0.836788157382136,0.5
0,0,0,-0.38,0.834164078649987,0.5
0,0,0,-0.377,0.831419176682857,0.5
0,0,0,-0.374,0.828545711713771,0.5
0,0,0,-0.371,0.825534855717446,0.5
0,0,0,-0.368,0.822376468326227,0.5
0,0,0,-0.365,0.819058808997907,0.5
0,0,0,-0.362,0.815568161705549,0.5
0,0,0,-0.359,0.811888337193829,0.5
0,0,0,-0.356,0.808,0.5
0,0,0,-0.353,0.803879738159085,0.5
0,0,0,-0.35,0.799498743710662,0.5
0,0,0,-0.347,0.794820883775675,0.5
0,0,0,-0.344,0.789799777282575,0.5
0,0,0,-0.341,0.784374166662551,0.5
0,0,0,-0.338,0.778460180983732,0.5
0,0,0,-0.335,0.771937472849691,0.5
0,0,0,-0.332,0.764621977685614,0.5
